X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,Class Label
129.736428,123.1447679,117.7427223,15.45585077,14.7936598,15.12775052,-0.379150555,-0.272722639,-0.412737274,2.900866268,2.776850172,2.591369761,5.791223694,5.733818351,5.693319038,84,82,81,0.867593582,0.429088715,73.30235365,2353.170791,0.809082031,6.75E-05,15549.17019,5.89E-05,13448.8584,2.72E-05,6906.633977,0.878985826,45.44577007,82.67516269,2722.392625,0.900390625,0.0345011,14996.89127,0.000943168,13568.13764,45.20581798,3854.978308,0.851115386,0.773294909,67.4867115,2131.385527,0.762451172,6.81E-05,15370.63881,5.87E-05,12935.88099,4.80E-05,12820.64297,0.822994486,49.5933353,77.74963138,2155.764376,0.827880859,0.037516636,15033.78767,0.001016263,12825.66807,49.16517137,6673.214686,0.338316286,0.073957514,0.034618411,0.108575924,0.013375295,0.006294256,0.025963808,0.122738002,0.105428796,0.007081039,0.016522423,0.009441385,0.042486231,0.010228167,0.120377655,0.059008655,0
114.4416446,105.3421751,100.5702918,25.87574708,26.26597578,28.45664893,-0.307751424,-0.315718026,-0.407939399,2.196003128,2.148918258,2.116867754,6.441881673,6.448541374,6.498265223,116,117,124,0.881560306,0.603647416,38.71428571,2432.325836,0.803222656,0.000107772,11983.56109,9.51E-05,10516.056,5.71E-05,8048.074772,0.884337097,45.01343725,46.41521096,2786.901639,0.908447266,0.034235529,11548.4789,0.00097264,10475.13447,44.80490927,2894.434829,0.881458243,0.678364358,39.09276778,2421.674397,0.800048828,0.000110212,11720.33384,9.87E-05,10132.6423,5.61E-05,9916.184315,0.872688742,46.07967033,46.21703297,2644.975824,0.888671875,0.034994818,11511.21209,0.000990584,10296.34287,45.8019482,3824.38022,0.24668435,0.100795756,0.014588859,0.132625995,0.015915119,0.00928382,0.025198939,0.114058355,0.140583554,0.015915119,0.018567639,0.023872679,0.102122016,0.017241379,0.104774536,0.076923077,0
97.97792023,95.65099715,89.8974359,39.00809248,38.19507759,38.42203812,-0.378776702,-0.355628013,-0.179951839,2.095752084,2.098922143,2.030897428,6.943274082,6.912539754,6.891858149,141,138,139,0.936177316,0.170665948,33.2631437,3143.039903,0.905517578,0.000259351,10011.44864,0.000228745,9254.96728,9.40E-05,2218.495012,0.916343423,42.74987212,36.59130435,3185.730946,0.954589844,0.032744099,9630.742967,0.001075148,8957.691641,42.63917453,1596.888491,0.917687523,0.345794393,31.17162277,2865.070235,0.862060547,0.000261986,9816.705749,0.000228127,8817.327223,0.000138259,4757.773152,0.919559303,42.52620865,36.97455471,3228.349109,0.959472656,0.032578487,9695.159033,0.001072256,9079.105985,42.4221869,1389.25598,0.156695157,0.085470085,0.027065527,0.068376068,0.022792023,0.011396011,0.037749288,0.076210826,0.091168091,0.023504274,0.02991453,0.01994302,0.086894587,0.017806268,0.21011396,0.12037037,0
187.0733591,182.0328185,172.9305019,24.3554047,26.78054825,30.62018217,-1.815925124,-1.717618453,-1.486605945,7.476162539,6.398304752,5.108605898,6.127708806,6.229626027,6.417356426,171,175,182,0.903658503,0.323806802,62.01857674,2729.037153,0.854248047,3.33E-05,33154.27751,3.05E-05,29637.01982,9.03E-06,12067.87739,0.913557269,42.91887035,70.92092426,3150.305777,0.950927734,0.03263785,32308.78562,0.00086706,30296.49957,42.80334072,4311.760205,0.924315288,0.335758254,62.42865137,2947.743705,0.872558594,3.33E-05,33214.27224,3.12E-05,30454.37926,8.94E-06,12654.81393,0.899440722,43.99842271,69.24079916,2964.906414,0.928710938,0.033417875,32237.12802,0.00088666,29762.97141,43.82729177,6347.159569,0.327220077,0.083011583,0.038610039,0.064671815,0.016409266,0.008687259,0.018339768,0.05984556,0.117760618,0.013513514,0.017374517,0.012548263,0.072393822,0.021235521,0.103281853,0.140926641,0
108.5161565,99.98384354,86.51360544,21.67257297,21.93703678,23.12837183,-0.706671727,-0.685819311,-0.422918593,2.717293238,2.559834261,2.073200661,6.173949823,6.117406264,6.195617905,118,114,101,0.887907755,0.53638814,51.32045523,2507.379155,0.815185547,0.000122823,9922.523211,0.00011237,8529.220184,4.35E-05,7205.701707,0.877136715,45.61823129,60.85034014,2699.895782,0.897216797,0.034673612,9811.308299,0.000993735,8735.100625,45.36573568,3317.80381,0.884959924,0.515442279,52.27736132,2486.363718,0.814208984,0.000122064,9969.698651,0.000110915,8568.239908,4.29E-05,6848.689055,0.889278969,44.85113788,60.80401606,2836.488621,0.911865234,0.034119298,9764.583668,0.000982277,8771.910278,44.6369647,2915.213119,0.260204082,0.106292517,0.020408163,0.092687075,0.011904762,0.004251701,0.031462585,0.047619048,0.087585034,0.010204082,0.017006803,0.011904762,0.117346939,0.013605442,0.201530612,0.068027211,0
183.7664093,175.369112,165.2895753,26.80772145,31.19947733,37.37283106,-1.354430274,-1.184898571,-1.039950921,4.92936557,4.095978907,3.240889205,6.404818612,6.597709611,6.803339827,175,187,192,0.937203659,0.144390768,54.52334944,3165.158347,0.909667969,3.65E-05,31535.07407,3.45E-05,29357.01711,4.25E-06,5268.141975,0.924196513,42.12736444,58.65952081,3296.096595,0.968017578,0.032065629,30533.20101,0.000855939,28902.32411,42.04766929,2982.079445,0.925472405,0.213853766,51.473337,3001.029137,0.888183594,3.69E-05,31314.59016,3.47E-05,28646.27509,5.93E-06,7990.824079,0.922726578,42.23843236,58.59292035,3275.560809,0.965576172,0.032146562,30560.25082,0.000857869,28910.95363,42.1539847,3114.750695,0.287644788,0.112741313,0.035135135,0.054054054,0.021621622,0.011583012,0.022393822,0.061776062,0.095752896,0.013899614,0.015444015,0.006949807,0.064092664,0.015444015,0.122393822,0.105405405,0
125.152658,123.6964799,119.9051724,33.16581535,34.15562195,36.12548455,-0.454697649,-0.400260608,-0.296810425,2.091895201,2.092533388,2.069090465,6.743749592,6.811053211,6.883176905,144,148,150,0.906413176,0.627948113,32.30483491,2678.795401,0.828125,9.23E-05,14875.35996,8.67E-05,12818.19588,2.82E-05,15783.38856,0.909997146,43.53628088,40.85123537,3084.624447,0.938720703,0.033116208,15067.25826,0.000930624,13762.62873,43.35995592,4392.089727,0.924222857,0.228389948,36.42115438,2979.64623,0.884033203,9.00E-05,15442.47363,8.57E-05,13777.61624,1.07E-05,5539.047777,0.904412241,43.80450144,40.77126407,3020.227427,0.932861328,0.033323723,15077.08139,0.00093563,13678.94553,43.63230337,4144.90212,0.247844828,0.063936782,0.031609195,0.106681034,0.015445402,0.015445402,0.020833333,0.063577586,0.198635057,0.00933908,0.015804598,0.016522989,0.110632184,0.014727011,0.060704023,0.051364943,0
136.1138162,127.9473524,118.0763847,37.799562,41.30947691,46.44835556,-0.140140539,-0.231618552,-0.318800604,2.668690751,2.343919298,1.888467566,7.029022074,7.128944856,7.165050323,207,209,210,0.949644111,0.113217483,37.07688257,3331.625066,0.927246094,9.06E-05,17948.04081,8.65E-05,16941.32149,9.34E-06,2320.900474,0.943890868,40.96563574,42.56799215,3569.272459,0.994628906,0.03126121,17476.45974,0.000886002,16957.57447,40.92268365,852.7535592,0.967777565,0.052846566,39.34516211,3598.120756,0.956298828,9.06E-05,18030.39214,8.81E-05,17383.2511,4.15E-06,1030.676283,0.939091634,41.21382716,42.26666667,3502.284444,0.988769531,0.031445919,17455.70765,0.00089019,16850.79228,41.1651886,1004.407654,0.217894096,0.106208156,0.034083993,0.087340231,0.024954352,0.023737066,0.024041388,0.07821059,0.108642727,0.016129032,0.025867316,0.014303104,0.078514912,0.019780889,0.10499087,0.071819842,0
129.9744898,119.2610544,109.0365646,28.35692147,30.43369698,33.3074146,-0.475232489,-0.522060947,-0.473844523,4.156765181,3.368113585,2.50964516,6.526999691,6.674485395,6.735184496,184,186,181,0.93790858,0.170350404,48.99568733,3161.401617,0.905761719,8.71E-05,15285.30054,8.21E-05,14294.7908,1.29E-05,2770.43531,0.912838516,42.95477903,52.495889,3141.040082,0.950195313,0.032715846,14760.3538,0.000918064,13858.95305,42.83633895,1986.706835,0.919023364,0.253831151,46.30621343,2914.039287,0.876220703,8.81E-05,15196.10198,8.18E-05,13888.31072,1.71E-05,4329.009752,0.918093913,42.66360388,52.47217968,3207.277693,0.956542969,0.032499482,14701.03139,0.000913272,13833.81378,42.55207466,1961.009954,0.211734694,0.157312925,0.033163265,0.101190476,0.024659864,0.017006803,0.026360544,0.073979592,0.098639456,0.022959184,0.021258503,0.016156463,0.090986395,0.022108844,0.113095238,0.071428571,0
132.5291723,127.7062415,122.3530077,28.05343861,27.41148085,26.36898506,0.841734433,0.676485247,0.292063615,3.781655796,4.057437865,4.414455739,6.540641897,6.526087241,6.509342299,184,185,191,0.944527051,0.10652921,60.34020619,3271.918847,0.923583984,6.79E-05,17162.19746,6.42E-05,16282.57982,7.13E-06,1666.298969,0.936406909,41.32681357,65.83040357,3466.671206,0.986083984,0.031509106,16585.94776,0.000870226,16070.13358,41.27729972,771.3589998,0.958974442,0.071631756,63.2094647,3471.583915,0.944091797,6.79E-05,17114.92061,6.52E-05,16451.72232,4.75E-06,1138.453064,0.932051725,41.57021912,65.60557769,3406.808267,0.98046875,0.031689263,16570.44223,0.000874702,15975.54334,41.51369894,908.3311753,0.244233379,0.118272275,0.037765717,0.05834464,0.018995929,0.014473089,0.026006332,0.055630936,0.099050204,0.014473089,0.016056083,0.009950249,0.08412483,0.014020805,0.140434193,0.075305292,0
